date,weight,weight trend,month,day
2020-11-01,65.3,65.3,11,1
2020-11-02,65.4,65.3132,11,2
2020-11-03,65.1,65.28493,11,3
2020-11-04,65.1,65.260025,11,4
2020-11-05,65.2,65.25211999999999,11,5
2020-11-06,65.2,65.24509,11,6
2020-11-07,65.3,65.25239599999999,11,7
2020-11-08,65.1,65.23228,11,8
2020-11-09,65.0,65.201836,11,9
2020-11-10,65.0,65.17438,11,10
2020-11-11,65.1,65.16462,11,11
2020-11-12,65.0,65.14233,11,12
2020-11-13,64.9,65.11005,11,13
2020-11-14,65.1,65.108765,11,14
2020-11-15,64.7,65.05218,11,15
2020-11-17,64.4,64.889854,11,17
2020-11-19,64.7,64.84273,11,19
2020-11-20,64.5,64.79616,11,20
2020-11-21,64.7,64.78374000000001,11,21
2020-11-22,64.3,64.71735,11,22
2020-11-23,64.3,64.66413,11,23
2020-11-25,64.8,64.6981,11,25
2020-11-26,64.2,64.63101999999999,11,26
2020-11-27,64.7,64.640396,11,27
2020-11-28,64.7,64.64805600000001,11,28
2020-11-29,64.3,64.60106999999999,11,29
2020-12-02,64.4,64.53098,12,2
2020-12-06,64.9,64.69141,12,6
2020-12-07,65.1,64.74724,12,7
2020-12-08,64.9,64.767586,12,8
2020-12-09,64.4,64.719604,12,9
2020-12-10,64.3,64.66471999999999,12,10
2020-12-12,64.3,64.57415999999999,12,12
2020-12-13,64.6,64.57764,12,13
2020-12-14,64.6,64.58067,12,14
2020-12-16,64.3,64.51099,12,16
2020-12-17,64.2,64.47012,12,17
2020-12-19,64.3,64.42759000000001,12,19
2020-12-20,64.6,64.45088,12,20
2020-12-21,64.6,64.47008000000001,12,21
2020-12-22,64.8,64.51436600000001,12,22
2020-12-24,64.6,64.53580500000001,12,24
2020-12-25,64.7,64.55633,12,25
2020-12-27,64.9,64.617226,12,27
2020-12-28,64.6,64.61355,12,28
2020-12-29,64.5,64.59864,12,29
2020-12-30,64.7,64.6123,12,30
2020-12-31,64.4,64.583855,12,31
2021-01-01,64.3,64.54614000000001,1,1
2021-01-02,64.7,64.56685,1,2
2021-01-03,64.5,64.55809,1,3
